readName,readClass
m84074_240804_073425_s4/249499253/ccs,CTCR-P
m84074_240804_073425_s4/211293178/ccs,CTCR-P
m84074_240804_073425_s4/264835748/ccs,CTCR-P
m84074_240804_073425_s4/228790495/ccs,CTCR-P
m84074_240804_073425_s4/253825146/ccs,CTCR-P
m84074_240804_073425_s4/250876804/ccs,CTCR-P
m84074_240804_073425_s4/257625584/ccs,CTCR-P
m84074_240804_073425_s4/257691708/ccs,CTCR-P
m84074_240804_073425_s4/260379103/ccs,CTCR-P
m84074_240804_073425_s4/257101109/ccs,CTCR-P
m84074_240804_073425_s4/237506259/ccs,CTCR-P
m84074_240804_073425_s4/238555021/ccs,CTCR-P
m84074_240804_073425_s4/222566260/ccs,CTCR-P
m84074_240804_073425_s4/247467235/ccs,CTCR-P
m84074_240804_073425_s4/222106455/ccs,CTCR-P
m84074_240804_073425_s4/253628550/ccs,CTCR-P
m84074_240804_073425_s4/247598391/ccs,CTCR-P
m84074_240804_073425_s4/244060413/ccs,CTCR-P
m84074_240804_073425_s4/238359760/ccs,CTCR-P
m84074_240804_073425_s4/234098681/ccs,CTCR-P
m84074_240804_073425_s4/242487024/ccs,CTCR-P
m84074_240804_073425_s4/264506446/ccs,CTCR-P
m84074_240804_073425_s4/250941293/ccs,CTCR-P
m84074_240804_073425_s4/246550680/ccs,CTCR-P
m84074_240804_073425_s4/242356406/ccs,CTCR-P
m84074_240804_073425_s4/217911898/ccs,CTCR-P
m84074_240804_073425_s4/223023178/ccs,CTCR-P
m84074_240804_073425_s4/262605944/ccs,CTCR-P
m84074_240804_073425_s4/260509517/ccs,CTCR-P
m84074_240804_073425_s4/256381164/ccs,CTCR-P
m84074_240804_073425_s4/249629960/ccs,CTCR-P
m84074_240804_073425_s4/217322142/ccs,CTCR-P
m84074_240804_073425_s4/237769294/ccs,CTCR-P
m84074_240804_073425_s4/259329653/ccs,CTCR-P
m84074_240804_073425_s4/259920104/ccs,CTCR-P
m84074_240804_073425_s4/223481769/ccs,CTCR-P
m84074_240804_073425_s4/234426049/ccs,CTCR-P
m84074_240804_073425_s4/250877732/ccs,CTCR-P
m84074_240804_073425_s4/262017295/ccs,CTCR-P
m84074_240804_073425_s4/240129693/ccs,CTCR-P
m84074_240804_073425_s4/211948623/ccs,CTCR-P
m84074_240804_073425_s4/216798203/ccs,CTCR-P
m84074_240804_073425_s4/216404698/ccs,CTCR-P
m84074_240804_073425_s4/239668628/ccs,CTCR-P
m84074_240804_073425_s4/264573339/ccs,CTCR-P
m84074_240804_073425_s4/247074421/ccs,CTCR-P
m84074_240804_073425_s4/262672823/ccs,CTCR-P
m84074_240804_073425_s4/268111651/ccs,CTCR-P
m84074_240804_073425_s4/228330877/ccs,CTCR-P
m84074_240804_073425_s4/252710511/ccs,CTCR-P
m84074_240804_073425_s4/252122660/ccs,CTCR-P
m84074_240804_073425_s4/257758111/ccs,CTCR-P
m84074_240804_073425_s4/211162571/ccs,CTCR-P
m84074_240804_073425_s4/255530529/ccs,CTCR-P
m84074_240804_073425_s4/250549095/ccs,CTCR-P
m84074_240804_073425_s4/228136327/ccs,CTCR-P
m84074_240804_073425_s4/252711228/ccs,CTCR-P
m84074_240804_073425_s4/216993558/ccs,CTCR-P
m84074_240804_073425_s4/261033211/ccs,CTCR-P
m84074_240804_073425_s4/234687730/ccs,CTCR-P
m84074_240804_073425_s4/243077015/ccs,CTCR-P
m84074_240804_073425_s4/222500092/ccs,CTCR-P
m84074_240804_073425_s4/242290022/ccs,CTCR-P
m84074_240804_073425_s4/223417685/ccs,CTCR-P
m84074_240804_073425_s4/252909175/ccs,CTCR-P
m84074_240804_073425_s4/238424686/ccs,CTCR-P
m84074_240804_073425_s4/221908992/ccs,CTCR-P
m84074_240804_073425_s4/242880587/ccs,CTCR-P
m84074_240804_073425_s4/257298889/ccs,CTCR-P
m84074_240804_073425_s4/258609913/ccs,CTCR-P
m84074_240804_073425_s4/242160483/ccs,CTCR-P
m84074_240804_073425_s4/234753852/ccs,CTCR-P
m84074_240804_073425_s4/245829528/ccs,CTCR-P
m84074_240804_073425_s4/246877765/ccs,CTCR-P
m84074_240804_073425_s4/263393923/ccs,CTCR-P
m84074_240804_073425_s4/244257995/ccs,CTCR-P
m84074_240804_073425_s4/260443300/ccs,CTCR-P
m84074_240804_073425_s4/220337157/ccs,CTCR-P
m84074_240804_073425_s4/212341038/ccs,CTCR-P
m84074_240804_073425_s4/222171641/ccs,CTCR-P
m84074_240804_073425_s4/249302869/ccs,CTCR-P
m84074_240804_073425_s4/217255440/ccs,CTCR-P
m84074_240804_073425_s4/258935983/ccs,CTCR-P
m84074_240804_073425_s4/254545517/ccs,CTCR-P
m84074_240804_073425_s4/253628722/ccs,CTCR-P
m84074_240804_073425_s4/257889139/ccs,CTCR-P
m84074_240804_073425_s4/248385818/ccs,CTCR-P
m84074_240804_073425_s4/249761499/ccs,CTCR-P
m84074_240804_073425_s4/266736312/ccs,CTCR-P
m84074_240804_073425_s4/239603771/ccs,CTCR-P
m84074_240804_073425_s4/228135631/ccs,CTCR-P
m84074_240804_073425_s4/217519008/ccs,CTCR-P
m84074_240804_073425_s4/255268019/ccs,CTCR-P
m84074_240804_073425_s4/260508911/ccs,CTCR-P
m84074_240804_073425_s4/256249149/ccs,CTCR-P
m84074_240804_073425_s4/253760959/ccs,CTCR-P
m84074_240804_073425_s4/241702188/ccs,CTCR-P
m84074_240804_073425_s4/234557276/ccs,CTCR-P
m84074_240804_073425_s4/248190379/ccs,CTCR-P
m84074_240804_073425_s4/250678326/ccs,CTCR-P
m84074_240804_073425_s4/247074010/ccs,CTCR-P
m84074_240804_073425_s4/212210896/ccs,CTCR-P
m84074_240804_073425_s4/258805039/ccs,CTCR-P
m84074_240804_073425_s4/241045960/ccs,CTCR-P
m84074_240804_073425_s4/254348433/ccs,CTCR-P
m84074_240804_073425_s4/228005305/ccs,CTCR-P
m84074_240804_073425_s4/253235731/ccs,CTCR-P
m84074_240804_073425_s4/240128165/ccs,CTCR-P
m84074_240804_073425_s4/250286378/ccs,CTCR-P
m84074_240804_073425_s4/266472971/ccs,CTCR-P
m84074_240804_073425_s4/222040637/ccs,CTCR-P
m84074_240804_073425_s4/222629355/ccs,CTCR-P
m84074_240804_073425_s4/255595261/ccs,CTCR-P
m84074_240804_073425_s4/221318491/ccs,CTCR-P
m84074_240804_073425_s4/261689838/ccs,CTCR-P
m84074_240804_073425_s4/261034376/ccs,CTCR-P
m84074_240804_073425_s4/251137242/ccs,CTCR-P
m84074_240804_073425_s4/234820657/ccs,CTCR-P
m84074_240804_073425_s4/244585896/ccs,CTCR-P
m84074_240804_073425_s4/238161212/ccs,CTCR-P
m84074_240804_073425_s4/249501509/ccs,CTCR-P
m84074_240804_073425_s4/245305507/ccs,CTCR-P
m84074_240804_073425_s4/246027845/ccs,CTCR-P
m84074_240804_073425_s4/259198692/ccs,CTCR-P
m84074_240804_073425_s4/217976148/ccs,CTCR-P
m84074_240804_073425_s4/261296411/ccs,CTCR-P
m84074_240804_073425_s4/237507821/ccs,CTCR-P
m84074_240804_073425_s4/243469469/ccs,CTCR-P
m84074_240804_073425_s4/228920922/ccs,CTCR-P
m84074_240804_073425_s4/220204373/ccs,CTCR-P
m84074_240804_073425_s4/249173561/ccs,CTCR-P
m84074_240804_073425_s4/246027743/ccs,CTCR-P
m84074_240804_073425_s4/251990461/ccs,CTCR-P
m84074_240804_073425_s4/244452659/ccs,CTCR-P
m84074_240804_073425_s4/255528754/ccs,CTCR-P
m84074_240804_073425_s4/227677270/ccs,CTCR-P
m84074_240804_073425_s4/243797178/ccs,CTCR-P
m84074_240804_073425_s4/249564468/ccs,CTCR-P
m84074_240804_073425_s4/257625415/ccs,CTCR-P
m84074_240804_073425_s4/251923873/ccs,CTCR-P
m84074_240804_073425_s4/251268622/ccs,CTCR-P
m84074_240804_073425_s4/256708171/ccs,CTCR-P
m84074_240804_073425_s4/217977178/ccs,CTCR-P
m84074_240804_073425_s4/242682953/ccs,CTCR-P
m84074_240804_073425_s4/242226150/ccs,CTCR-P
m84074_240804_073425_s4/264376959/ccs,CTCR-P
m84074_240804_073425_s4/227609755/ccs,CTCR-P
m84074_240804_073425_s4/222367701/ccs,CTCR-P
m84074_240804_073425_s4/252185776/ccs,CTCR-P
m84074_240804_073425_s4/237769684/ccs,CTCR-P
m84074_240804_073425_s4/265359717/ccs,CTCR-P
m84074_240804_073425_s4/221318945/ccs,CTCR-P
m84074_240804_073425_s4/259854059/ccs,CTCR-P
m84074_240804_073425_s4/264376804/ccs,CTCR-P
m84074_240804_073425_s4/216273630/ccs,CTCR-P
m84074_240804_073425_s4/265554980/ccs,CTCR-P
m84074_240804_073425_s4/221779242/ccs,CTCR-P
m84074_240804_073425_s4/256052571/ccs,CTCR-P
m84074_240804_073425_s4/260379466/ccs,CTCR-P
m84074_240804_073425_s4/222237598/ccs,CTCR-P
m84074_240804_073425_s4/239210072/ccs,CTCR-P
m84074_240804_073425_s4/250156020/ccs,CTCR-P
m84074_240804_073425_s4/216796481/ccs,CTCR-P
m84074_240804_073425_s4/227939048/ccs,CTCR-P
m84074_240804_073425_s4/249761480/ccs,CTCR-P
m84074_240804_073425_s4/250745429/ccs,CTCR-P
m84074_240804_073425_s4/242160723/ccs,CTCR-P
m84074_240804_073425_s4/252778160/ccs,CTCR-P
m84074_240804_073425_s4/227743334/ccs,CTCR-P
m84074_240804_073425_s4/264639050/ccs,CTCR-P
m84074_240804_073425_s4/253300583/ccs,CTCR-P
m84074_240804_073425_s4/238622464/ccs,CTCR-P
m84074_240804_073425_s4/242224692/ccs,CTCR-P
m84074_240804_073425_s4/211685992/ccs,CTCR-P
m84074_240804_073425_s4/249172216/ccs,CTCR-P
m84074_240804_073425_s4/262411005/ccs,CTCR-P
m84074_240804_073425_s4/222827112/ccs,CTCR-P
m84074_240804_073425_s4/234557628/ccs,CTCR-P
m84074_240804_073425_s4/244911465/ccs,CTCR-P
m84074_240804_073425_s4/211423460/ccs,CTCR-P
m84074_240804_073425_s4/248843682/ccs,CTCR-P
m84074_240804_073425_s4/237834258/ccs,CTCR-P
m84074_240804_073425_s4/216338790/ccs,CTCR-P
m84074_240804_073425_s4/259724788/ccs,CTCR-P
m84074_240804_073425_s4/240259420/ccs,CTCR-P
m84074_240804_073425_s4/253170137/ccs,CTCR-P
m84074_240804_073425_s4/248974584/ccs,CTCR-P
m84074_240804_073425_s4/244845949/ccs,CTCR-P
m84074_240804_073425_s4/240129056/ccs,CTCR-P
m84074_240804_073425_s4/242617872/ccs,CTCR-P
m84074_240804_073425_s4/259002653/ccs,CTCR-P
m84074_240804_073425_s4/211882704/ccs,CTCR-P
m84074_240804_073425_s4/216602355/ccs,CTCR-P
m84074_240804_073425_s4/260181616/ccs,CTCR-P
m84074_240804_073425_s4/265753431/ccs,CTCR-P
m84074_240804_073425_s4/252448508/ccs,CTCR-P
m84074_240804_073425_s4/243340099/ccs,CTCR-P
m84074_240804_073425_s4/252515224/ccs,CTCR-P
m84074_240804_073425_s4/227873034/ccs,CTCR-P
